starch_mixing_tank23top_ply,pulp_to_mixing_tank23,power_power_station24,recycled_liquid_top_ply,sum_bleached_pulp,flow_after_machine_chest21,steam_pressure_group1,steam_pressure_group2,level_condensate_bucket1,level_condensate_bucket1_valve_position,level_condensate_bucket2_valve_position,steam_group3_pressure,steam_group4under_pressure,steam_pressure4_over,pressure_yankee_cylinder,steam_group5under_pressure,steam_pressure5_over,pressure_condensate_bucket2,pressure_condensate_bucket5,production_paper_machine2,dry_production_vira,total_starch_paper_machine2,steamflow
31.278,185.99,288.83,1.5323,7.5226,3075.3,100.18,169.93,317.22,48.75,27.644,231.28,246.49,246.94,246.86,246.41,246.53,176.5,95.75,11.782,173.23,54.326,16.509
30.95,185.37,286.14,1.4867,7.3194,3056.2,99.83,170.1,319.45,40.707,26.448,228.65,244.26,244.93,243.49,243.84,244.05,176.75,95.75,11.645,171.45,54.234,16.343
31.013,185.55,287.13,1.4417,7.4153,3046.1,83.64,170.44,317.68,40.638,26.314,208.19,223.78,223.93,222.93,223.66,223.29,174.63,75.75,11.751,170.77,54.249,16.433
30.871,187.04,285.81,1.4417,7.383,3083.1,84.998,170.71,328.22,40.638,27.415,209.97,225.4,224.15,224.4,225.11,224.71,173.38,79.125,11.728,171.16,54.482,16.433
34.312,205.8,303.88,1.6447,8.3433,3401.1,55.595,146.45,325.42,30.112,25.787,181.99,195.42,195.62,196.72,195.67,195.74,149.37,49.875,11.684,193.45,53.057,16.455
34.514,207.05,304.67,1.6447,8.39,3418.9,76.191,165.92,325.49,35.658,25.787,201.17,216.06,216.31,216.06,216.07,215.76,169.16,70.625,11.998,195.5,53.703,17.194
34.876,207.99,268.15,1.6524,8.4025,3424.5,82.205,168.92,325.15,34.69,25.805,207.11,221.81,221.49,222.9,222.52,222.39,173,75.125,11.915,195.45,54.047,17.449
34.665,209.22,269.86,1.6524,8.4311,3449.2,80.591,170.67,325.15,34.463,24.872,204.78,220.44,220.98,220.07,220.69,220.47,172.23,74.875,12.04,196.56,53.816,17.449
35.149,209.53,269.41,1.6067,8.3972,3467,83.828,170.85,328.33,37.147,26.561,209.1,224.48,224.45,223.96,224.51,224.36,172.38,78.625,11.952,197.27,54.79,17.447
33.107,194.58,263.68,1.5471,7.7693,3201.1,60.706,150.3,321.03,29.983,22.209,184.98,200.58,200.87,200.47,200.55,200.82,151.02,55.375,11.723,184.94,53.549,18.117
31.896,197.35,260.65,1.5471,7.9084,3257,68.572,159.59,332.28,34.64,22.35,192.77,209.14,209.47,207.79,208.77,208.89,161.68,60.75,11.846,186.01,52.634,19.016
33.56,205.39,270.62,1.5541,8.2166,3378.2,85.419,170.43,323,37.153,25.29,211.1,225.49,225.48,225.98,225.52,225.94,173,81.75,12.284,190.66,55.203,18.842
33.778,210.36,271.84,1.5997,8.5197,3483.1,86.428,169.17,321.55,38.591,27.03,219.28,234.23,234.77,234.2,234.23,234.35,174,82.571,12.323,190.67,56.353,18.954
